Address,City,Lat,Lng,Signal,Score,Notes,Maps URL
156 Little Texas Lane,Austin, Texas,30.202416200000005,-97.77451513092036,No fencing detected,85,"This appears to be a commercial or institutional property (parking area, courtyard, or campus facility) rather than a residential property.",https://www.google.com/maps/@30.202416200000005,-97.77451513092036,150m/data=!3m1!1e3
South Capital of Texas Highway,Austin, Texas,30.237696200000062,-97.79868499414793,No fencing detected,95,"Not a residential property — this appears to be an aerial view of a road or driveway with vehicles, not a residential property with perimeter fencing",https://www.google.com/maps/@30.237696200000062,-97.79868499414793,150m/data=!3m1!1e3
4702 Button Bend Road,Austin, Texas,30.202416200000005,-97.7386770578588,No fencing detected,99,"Not a residential property — skip",https://www.google.com/maps/@30.202416200000005,-97.7386770578588,150m/data=!3m1!1e3
South Interstate 35,Austin, Texas,30.20529620000001,-97.75367904193108,No fencing detected,85,"This is a residential property, but no perimeter fencing is visible around the lot boundaries.",https://www.google.com/maps/@30.20529620000001,-97.75367904193108,150m/data=!3m1!1e3
5007 Aberdeen Drive,Austin, Texas,30.214656200000025,-97.77951579227779,No fencing detected,85,"This is a residential property with scattered trees and structures, but no visible perimeter fencing enclosing the lot.",https://www.google.com/maps/@30.214656200000025,-97.77951579227779,150m/data=!3m1!1e3
2508 Audubon Place,Austin, Texas,30.23049620000005,-97.74117738853751,No fencing detected,85,"No visible perimeter fencing enclosing these residential properties; yards appear open to surrounding wooded areas without defined boundary enclosures.",https://www.google.com/maps/@30.23049620000005,-97.74117738853751,150m/data=!3m1!1e3
4501 Burleson Road,Austin, Texas,30.213216200000023,-97.73367639650137,No fencing detected,92,"Not a residential property — this appears to be an industrial or commercial building with large warehouse structures",https://www.google.com/maps/@30.213216200000023,-97.73367639650137,150m/data=!3m1!1e3
4701 South 1st Street,Austin, Texas,30.216096200000027,-97.77534857447993,No fencing detected,99,"Not a residential property — skip",https://www.google.com/maps/@30.216096200000027,-97.77534857447993,150m/data=!3m1!1e3
6108 Daffodil Drive,Austin, Texas,30.21105620000002,-97.7153406381908,No fencing detected,95,"This is a parking lot or multi-unit residential complex common area, not a single residential property with a defined yard.",https://www.google.com/maps/@30.21105620000002,-97.7153406381908,150m/data=!3m1!1e3
TX 71,Austin, Texas,30.215376200000026,-97.73701017073965,No fencing detected,95,"This is an aerial view of a highway/road system, not a residential property.",https://www.google.com/maps/@30.215376200000026,-97.73701017073965,150m/data=!3m1!1e3
500 Bramble Drive,Austin, Texas,30.206736200000012,-97.77951579227779,No fencing detected,85,"This appears to be a commercial or mixed-use property with parking areas and buildings rather than a residential house and yard.",https://www.google.com/maps/@30.206736200000012,-97.77951579227779,150m/data=!3m1!1e3
Country Club Creek Trail,Austin, Texas,30.239856200000066,-97.71450719463122,No fencing detected,95,"Not a residential property — this is an aerial view of forested land with dirt roads, skip",https://www.google.com/maps/@30.239856200000066,-97.71450719463122,150m/data=!3m1!1e3
5510 East Stassney Lane,Austin, Texas,30.202416200000005,-97.76701413888422,No fencing detected,95,"This is an aerial view of a commercial/industrial property with parking areas and buildings, not a residential property.",https://www.google.com/maps/@30.202416200000005,-97.76701413888422,150m/data=!3m1!1e3
3001 South Congress Avenue,Austin, Texas,30.231216200000052,-97.7561793726098,No fencing detected,85,"This is a residential property with trees and structures, but no visible perimeter fencing enclosing the lot boundaries.",https://www.google.com/maps/@30.231216200000052,-97.7561793726098,150m/data=!3m1!1e3
South Lamar Boulevard,Austin, Texas,30.239856200000066,-97.78951711499265,No fencing detected,85,"This is a residential property, but no perimeter fencing is visible around the lot boundaries.",https://www.google.com/maps/@30.239856200000066,-97.78951711499265,150m/data=!3m1!1e3